Cha Cha
id =  489 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  535 : gt = 128 , t1 =  57.0414 , t2 = 261.8720 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  536 : gt = 124 , t1 = 116.6756 , t2 = 255.3900 . avg.P-score = 0.0365 , ALOTC-score= 1 *
id =  537 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  538 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  539 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  540 : gt = 124 , t1 = 255.3900 , t2 = 259.2792 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  541 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  542 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  543 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  544 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  545 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  546 : gt = 116 , t1 = 235.9441 , t2 = 237.2405 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  547 : gt = 124 , t1 = 123.1576 , t2 = 255.3900 . avg.P-score = 0.0523 , ALOTC-score= 1 *
id =  548 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  549 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  550 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  551 : gt = 124 , t1 = 252.7972 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  552 : gt = 124 , t1 = 252.7972 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  553 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  554 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  555 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  556 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  557 : gt = 124 , t1 = 128.3432 , t2 = 255.3900 . avg.P-score = 0.0545 , ALOTC-score= 1 *
id =  558 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  559 : gt = 124 , t1 =  60.9306 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  560 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  561 : gt =  92 , t1 = 190.5702 , t2 = 191.8666 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  562 : gt = 124 , t1 = 259.6902 , t2 = 260.9952 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  563 : gt = 124 , t1 = 254.4703 , t2 = 255.7752 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  564 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  565 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  566 : gt = 124 , t1 = 250.9797 , t2 = 252.2602 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  567 : gt = 124 , t1 = 250.9797 , t2 = 252.2602 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  568 : gt = 124 , t1 = 250.9797 , t2 = 252.2602 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  569 : gt = 128 , t1 =  90.0433 , t2 = 262.3001 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  570 : gt = 128 , t1 =  57.4189 , t2 = 264.9101 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  571 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  572 : gt = 128 , t1 = 263.6051 , t2 = 264.9101 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  573 : gt = 128 , t1 = 262.3001 , t2 = 263.6051 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  574 : gt = 128 , t1 = 133.1075 , t2 = 264.9101 . avg.P-score = 0.6048 , ALOTC-score= 1 *
id =  575 : gt = 128 , t1 = 263.6051 , t2 = 264.9101 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  576 : gt = 128 , t1 = 262.3001 , t2 = 263.6051 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  577 : gt = 128 , t1 = 257.0802 , t2 = 258.3852 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  578 : gt = 128 , t1 = 253.1653 , t2 = 257.0802 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  579 : gt = 128 , t1 =  57.4189 , t2 = 257.0802 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  580 : gt = 128 , t1 = 255.7752 , t2 = 257.0802 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  581 : gt = 128 , t1 = 137.0225 , t2 = 264.9101 . avg.P-score = 0.3724 , ALOTC-score= 1 *
id =  582 : gt = 128 , t1 = 263.6051 , t2 = 264.9101 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  583 : gt = 124 , t1 = 256.5925 , t2 = 257.9017 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  584 : gt = 124 , t1 = 256.5925 , t2 = 257.9017 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  585 : gt = 124 , t1 = 256.5925 , t2 = 257.9017 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  586 : gt = 128 , t1 = 254.8212 , t2 = 256.1017 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  587 : gt = 120 , t1 = 238.1746 , t2 = 239.4551 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  588 : gt = 109 , t1 = 215.1254 , t2 = 216.4060 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  589 : gt = 124 , t1 = 258.7154 , t2 = 260.0287 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  590 : gt = 124 , t1 = 257.5176 , t2 = 258.8248 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  591 : gt = 124 , t1 = 256.2104 , t2 = 257.5176 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  592 : gt = 124 , t1 = 256.2104 , t2 = 257.5176 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  593 : gt = 117 , t1 = 237.5056 , t2 = 238.8106 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  594 : gt = 106 , t1 = 210.7724 , t2 = 213.3907 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  595 : gt = 118 , t1 = 238.8106 , t2 = 240.1155 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  596 : gt = 117 , t1 = 138.7694 , t2 = 239.5736 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  597 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  598 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  599 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . avg.P-score = 0.0000 , ALOTC-score= 0
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - P-score = 0.0194 alotc = 0.0631
Jive
id =    0 : gt = 160 , t1 = 163.3459 , t2 = 164.6423 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =    1 : gt = 168 , t1 = 168.5315 , t2 = 171.1243 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =    2 : gt = 176 , t1 = 180.1991 , t2 = 181.4955 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =    3 : gt = 172 , t1 = 172.4207 , t2 = 175.0135 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =    4 : gt = 176 , t1 = 180.1991 , t2 = 181.4955 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =    5 : gt = 176 , t1 = 177.6063 , t2 = 180.1991 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =    6 : gt = 172 , t1 =  88.1549 , t2 =  89.4513 . avg.P-score = 0.0000 , ALOTC-score= 0
id =    7 : gt = 136 , t1 = 137.4180 , t2 = 140.0108 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =    8 : gt = 176 , t1 = 180.1991 , t2 = 181.4955 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =    9 : gt = 176 , t1 = 178.9027 , t2 = 181.4955 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   10 : gt = 124 , t1 = 128.3432 , t2 = 129.6396 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   11 : gt = 136 , t1 = 140.0108 , t2 = 141.3072 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   12 : gt = 172 , t1 = 176.3099 , t2 = 177.6063 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   13 : gt = 172 , t1 = 177.6063 , t2 = 178.9027 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   14 : gt = 132 , t1 = 134.8252 , t2 = 136.1216 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   15 : gt = 124 , t1 = 127.0468 , t2 = 128.3432 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   16 : gt = 144 , t1 = 146.4928 , t2 = 147.7892 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   17 : gt = 160 , t1 =  81.6730 , t2 = 164.6423 . avg.P-score = 0.9396 , ALOTC-score= 1 *
id =   18 : gt = 168 , t1 = 169.8279 , t2 = 172.4207 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   19 : gt = 164 , t1 = 168.5315 , t2 = 169.8279 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   20 : gt = 172 , t1 =  57.0414 , t2 = 176.3099 . avg.P-score = 0.9768 , ALOTC-score= 1 *
id =   21 : gt = 172 , t1 = 176.3099 , t2 = 177.6063 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   22 : gt = 136 , t1 = 140.0108 , t2 = 141.3072 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   23 : gt = 172 , t1 = 176.3099 , t2 = 177.6063 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   24 : gt = 172 , t1 = 176.3099 , t2 = 177.6063 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   25 : gt = 172 , t1 = 177.6063 , t2 = 178.9027 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   26 : gt = 160 , t1 = 164.6423 , t2 = 165.9387 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   27 : gt = 172 , t1 = 177.6063 , t2 = 178.9027 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   28 : gt = 172 , t1 = 175.0135 , t2 = 176.3099 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   29 : gt = 124 , t1 = 127.0468 , t2 = 190.5702 . avg.P-score = 0.0304 , ALOTC-score= 1 *
id =   30 : gt = 168 , t1 = 172.4207 , t2 = 173.7171 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   31 : gt = 172 , t1 = 176.3099 , t2 = 177.6063 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   32 : gt = 172 , t1 = 176.3099 , t2 = 177.6063 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   33 : gt = 168 , t1 = 172.4207 , t2 = 173.7171 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   34 : gt = 172 , t1 = 175.0135 , t2 = 177.6063 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   35 : gt = 172 , t1 = 177.6063 , t2 = 178.9027 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   36 : gt = 172 , t1 = 178.0438 , t2 = 179.3529 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   37 : gt = 172 , t1 = 177.4767 , t2 = 178.7817 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   38 : gt = 172 , t1 = 177.4767 , t2 = 178.7817 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   39 : gt = 164 , t1 = 166.5064 , t2 = 167.8073 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   40 : gt = 164 , t1 = 163.9051 , t2 = 165.1856 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   41 : gt = 176 , t1 = 133.1729 , t2 = 134.4534 . avg.P-score = 0.0000 , ALOTC-score= 0
id =   42 : gt = 180 , t1 = 181.8322 , t2 = 183.1127 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   43 : gt = 176 , t1 = 180.0867 , t2 = 182.6966 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   44 : gt = 176 , t1 = 181.3916 , t2 = 182.6966 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   45 : gt = 176 , t1 = 181.9712 , t2 = 183.2804 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   46 : gt = 176 , t1 = 181.3916 , t2 = 362.7833 . avg.P-score = 0.5429 , ALOTC-score= 1 *
id =   47 : gt = 176 , t1 =  90.0433 , t2 =  91.3483 . avg.P-score = 0.0000 , ALOTC-score= 0
id =   48 : gt = 176 , t1 =  91.3483 , t2 = 182.6966 . avg.P-score = 0.9605 , ALOTC-score= 1 *
id =   49 : gt = 176 , t1 = 181.3916 , t2 = 182.6966 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   50 : gt = 176 , t1 = 362.7833 , t2 = 364.0882 . avg.P-score = 0.0000 , ALOTC-score= 0
id =   51 : gt = 176 , t1 = 181.9712 , t2 = 183.2804 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   52 : gt = 176 , t1 = 363.9424 , t2 = 365.2516 . avg.P-score = 0.0000 , ALOTC-score= 0
id =   53 : gt = 172 , t1 = 177.7787 , t2 = 179.0859 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   54 : gt = 176 , t1 = 183.0075 , t2 = 184.3147 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   55 : gt = 168 , t1 = 173.8571 , t2 = 175.1643 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   56 : gt = 168 , t1 = 173.5618 , t2 = 174.8668 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   57 : gt = 168 , t1 = 173.5618 , t2 = 174.8668 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   58 : gt = 172 , t1 = 177.4767 , t2 = 178.7817 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   59 : gt = 172 , t1 = 178.0438 , t2 = 179.3529 . avg.P-score = 1.0000 , ALOTC-score= 1 *
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - P-score = 0.8908 alotc = 0.9167
Quickstep
id =   60 : gt = 214 , t1 = 218.6273 , t2 = 219.9364 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   61 : gt = 208 , t1 = 108.6591 , t2 = 216.0090 . avg.P-score = 0.9735 , ALOTC-score= 1 *
id =   62 : gt = 204 , t1 = 210.7724 , t2 = 212.0816 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   63 : gt = 200 , t1 = 204.8812 , t2 = 207.4911 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   64 : gt = 200 , t1 =  57.4189 , t2 = 206.1862 . avg.P-score = 0.9865 , ALOTC-score= 1 *
id =   65 : gt = 200 , t1 =  57.4189 , t2 = 214.0160 . avg.P-score = 0.9768 , ALOTC-score= 1 *
id =   66 : gt = 200 , t1 =  57.4189 , t2 = 129.1926 . avg.P-score = 0.0000 , ALOTC-score= 0
id =   67 : gt = 200 , t1 =  56.1140 , t2 =  57.4189 . avg.P-score = 0.0000 , ALOTC-score= 0
id =   68 : gt = 204 , t1 = 210.7724 , t2 = 212.0816 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   69 : gt = 204 , t1 = 105.7030 , t2 = 206.1862 . avg.P-score = 0.9788 , ALOTC-score= 1 *
id =   70 : gt = 200 , t1 =  56.1140 , t2 = 207.4911 . avg.P-score = 0.9651 , ALOTC-score= 1 *
id =   71 : gt = 204 , t1 = 107.0080 , t2 = 108.3130 . avg.P-score = 0.0000 , ALOTC-score= 0
id =   72 : gt = 204 , t1 = 110.3152 , t2 = 111.6285 . avg.P-score = 0.0000 , ALOTC-score= 0
id =   73 : gt = 204 , t1 =  57.2516 , t2 = 184.7664 . avg.P-score = 0.0000 , ALOTC-score= 0
id =   74 : gt = 204 , t1 = 216.6906 , t2 = 218.0039 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   75 : gt = 219 , t1 = 217.6865 , t2 = 218.9670 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   76 : gt = 200 , t1 = 204.8306 , t2 = 207.4234 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   77 : gt = 204 , t1 = 208.7198 , t2 = 211.3126 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   78 : gt = 204 , t1 =  57.0414 , t2 = 210.0162 . avg.P-score = 0.9517 , ALOTC-score= 1 *
id =   79 : gt = 153 , t1 =  57.0414 , t2 = 208.7198 . avg.P-score = 0.0000 , ALOTC-score= 0
id =   80 : gt = 153 , t1 = 201.6768 , t2 = 209.3354 . avg.P-score = 0.0000 , ALOTC-score= 0
id =   81 : gt = 153 , t1 = 152.9747 , t2 = 160.7531 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   82 : gt = 153 , t1 = 208.7198 , t2 = 210.0162 . avg.P-score = 0.0000 , ALOTC-score= 0
id =   83 : gt = 200 , t1 = 204.8306 , t2 = 206.1270 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   84 : gt = 204 , t1 = 136.1216 , t2 = 208.7198 . avg.P-score = 0.5204 , ALOTC-score= 1 *
id =   85 : gt = 204 , t1 = 206.1270 , t2 = 207.4234 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   86 : gt = 200 , t1 = 206.1270 , t2 = 207.4234 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   87 : gt = 204 , t1 = 211.3126 , t2 = 212.6090 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   88 : gt = 204 , t1 = 105.0081 , t2 = 106.3045 . avg.P-score = 0.0000 , ALOTC-score= 0
id =   89 : gt = 204 , t1 = 208.7198 , t2 = 210.0162 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   90 : gt = 208 , t1 = 213.9054 , t2 = 215.2017 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   91 : gt = 208 , t1 =  55.7450 , t2 = 212.6090 . avg.P-score = 0.9585 , ALOTC-score= 1 *
id =   92 : gt = 208 , t1 = 212.6090 , t2 = 213.9054 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   93 : gt = 208 , t1 = 212.6090 , t2 = 213.9054 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   94 : gt = 208 , t1 = 211.3126 , t2 = 212.6090 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   95 : gt = 208 , t1 = 107.6009 , t2 = 215.2017 . avg.P-score = 0.9513 , ALOTC-score= 1 *
id =   96 : gt = 208 , t1 =  57.0414 , t2 =  59.6342 . avg.P-score = 0.0000 , ALOTC-score= 0
id =   97 : gt = 208 , t1 = 211.3126 , t2 = 212.6090 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   98 : gt = 208 , t1 = 213.9054 , t2 = 215.2017 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   99 : gt = 208 , t1 = 212.6090 , t2 = 216.4981 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  100 : gt = 208 , t1 = 212.6090 , t2 = 213.9054 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  101 : gt = 204 , t1 = 208.7198 , t2 = 211.3126 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  102 : gt = 204 , t1 = 207.4234 , t2 = 210.0162 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  103 : gt = 204 , t1 = 208.7198 , t2 = 210.0162 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  104 : gt = 204 , t1 =  57.0414 , t2 = 101.1189 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  105 : gt = 200 , t1 = 204.8306 , t2 = 207.4234 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  106 : gt = 208 , t1 = 212.6090 , t2 = 215.2017 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  107 : gt = 208 , t1 =  57.0414 , t2 =  75.1910 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  108 : gt = 204 , t1 = 102.4153 , t2 = 212.6090 . avg.P-score = 0.9895 , ALOTC-score= 1 *
id =  109 : gt = 208 , t1 = 213.9054 , t2 = 215.2017 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  110 : gt = 204 , t1 = 198.3486 , t2 = 208.7198 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  111 : gt = 204 , t1 = 210.0162 , t2 = 211.3126 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  112 : gt = 204 , t1 =  55.7450 , t2 =  79.0802 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  113 : gt = 204 , t1 =  57.0414 , t2 = 208.7198 . avg.P-score = 0.9805 , ALOTC-score= 1 *
id =  114 : gt = 200 , t1 = 206.1270 , t2 = 207.4234 . avg.P-score = 1.0000 , ALOTC-score= 1 *
