/home/slee/miniconda3/bin/python /home/slee/Desktop/code/mir-hw2/q3.py
floats only print 4.4f



tempo / 2 :


Cha Cha
id =  489 : gt = 124 , t1 = 127.8876 , t2 = 128.5401 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  522 : gt = 112 , t1 =  58.9860 , t2 =  59.6342 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  523 : gt = 124 , t1 =  27.8725 , t2 = 127.6950 . avg.P-score = 0.3864 , ALOTC-score= 1 *
id =  524 : gt = 124 , t1 =  28.5207 , t2 = 127.6950 . avg.P-score = 0.4452 , ALOTC-score= 1 *
id =  525 : gt = 124 , t1 =  28.5207 , t2 = 127.6950 . avg.P-score = 0.3809 , ALOTC-score= 1 *
id =  526 : gt = 116 , t1 =  28.5207 , t2 = 119.9166 . avg.P-score = 0.5484 , ALOTC-score= 1 *
id =  527 : gt = 108 , t1 = 110.8419 , t2 = 111.4901 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  528 : gt = 124 , t1 = 127.0468 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  529 : gt = 124 , t1 = 127.0468 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  530 : gt = 124 , t1 = 128.3432 , t2 = 128.9914 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  531 : gt = 124 , t1 = 127.0468 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  532 : gt = 100 , t1 = 103.0635 , t2 = 103.7117 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  533 : gt = 116 , t1 = 120.5648 , t2 = 121.2130 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  534 : gt = 124 , t1 = 129.6396 , t2 = 130.2878 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  535 : gt = 128 , t1 =  28.5207 , t2 = 130.9360 . avg.P-score = 0.5202 , ALOTC-score= 1 *
id =  536 : gt = 124 , t1 =  58.3378 , t2 = 127.6950 . avg.P-score = 0.5946 , ALOTC-score= 1 *
id =  537 : gt = 124 , t1 = 127.0468 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  538 : gt = 124 , t1 = 127.0468 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  539 : gt = 124 , t1 = 127.6950 , t2 = 128.3432 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  540 : gt = 124 , t1 = 127.6950 , t2 = 129.6396 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  541 : gt = 124 , t1 = 127.6950 , t2 = 128.3432 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  542 : gt = 124 , t1 = 127.0468 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  543 : gt = 124 , t1 = 127.0468 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  544 : gt = 124 , t1 = 127.0468 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  545 : gt = 124 , t1 = 127.0468 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  546 : gt = 116 , t1 = 117.9720 , t2 = 118.6202 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  547 : gt = 124 , t1 =  61.5788 , t2 = 127.6950 . avg.P-score = 0.4564 , ALOTC-score= 1 *
id =  548 : gt = 124 , t1 = 127.0468 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  549 : gt = 124 , t1 = 127.6950 , t2 = 128.3432 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  550 : gt = 124 , t1 = 127.6950 , t2 = 128.3432 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  551 : gt = 124 , t1 = 126.3986 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  552 : gt = 124 , t1 = 126.3986 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  553 : gt = 124 , t1 = 127.6950 , t2 = 128.3432 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  554 : gt = 124 , t1 = 127.6950 , t2 = 128.3432 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  555 : gt = 124 , t1 = 127.6950 , t2 = 128.3432 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  556 : gt = 124 , t1 = 127.6950 , t2 = 128.3432 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  557 : gt = 124 , t1 =  64.1716 , t2 = 127.6950 . avg.P-score = 0.4726 , ALOTC-score= 1 *
id =  558 : gt = 124 , t1 = 127.0468 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  559 : gt = 124 , t1 =  30.4653 , t2 = 127.6950 . avg.P-score = 0.4430 , ALOTC-score= 1 *
id =  560 : gt = 124 , t1 = 127.0468 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  561 : gt =  92 , t1 =  95.2851 , t2 =  95.9333 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  562 : gt = 124 , t1 = 129.8451 , t2 = 130.4976 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  563 : gt = 124 , t1 = 127.2351 , t2 = 127.8876 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  564 : gt = 124 , t1 = 127.8876 , t2 = 128.5401 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  565 : gt = 124 , t1 = 127.8876 , t2 = 128.5401 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  566 : gt = 124 , t1 = 125.4898 , t2 = 126.1301 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  567 : gt = 124 , t1 = 125.4898 , t2 = 126.1301 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  568 : gt = 124 , t1 = 125.4898 , t2 = 126.1301 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  569 : gt = 128 , t1 =  45.0217 , t2 = 131.1501 . avg.P-score = 0.8194 , ALOTC-score= 1 *
id =  570 : gt = 128 , t1 =  28.7095 , t2 = 132.4550 . avg.P-score = 0.9462 , ALOTC-score= 1 *
id =  571 : gt = 124 , t1 = 127.8876 , t2 = 128.5401 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  572 : gt = 128 , t1 = 131.8026 , t2 = 132.4550 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  573 : gt = 128 , t1 = 131.1501 , t2 = 131.8026 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  574 : gt = 128 , t1 =  66.5538 , t2 = 132.4550 . avg.P-score = 0.8807 , ALOTC-score= 1 *
id =  575 : gt = 128 , t1 = 131.8026 , t2 = 132.4550 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  576 : gt = 128 , t1 = 131.1501 , t2 = 131.8026 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  577 : gt = 128 , t1 = 128.5401 , t2 = 129.1926 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  578 : gt = 128 , t1 = 126.5826 , t2 = 128.5401 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  579 : gt = 128 , t1 =  28.7095 , t2 = 128.5401 . avg.P-score = 0.9447 , ALOTC-score= 1 *
id =  580 : gt = 128 , t1 = 127.8876 , t2 = 128.5401 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  581 : gt = 128 , t1 =  68.5112 , t2 = 132.4550 . avg.P-score = 0.8704 , ALOTC-score= 1 *
id =  582 : gt = 128 , t1 = 131.8026 , t2 = 132.4550 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  583 : gt = 124 , t1 = 128.2963 , t2 = 128.9508 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  584 : gt = 124 , t1 = 128.2963 , t2 = 128.9508 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  585 : gt = 124 , t1 = 128.2963 , t2 = 128.9508 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  586 : gt = 128 , t1 = 127.4106 , t2 = 128.0509 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  587 : gt = 120 , t1 = 119.0873 , t2 = 119.7276 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  588 : gt = 109 , t1 = 107.5627 , t2 = 108.2030 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  589 : gt = 124 , t1 = 129.3577 , t2 = 130.0144 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  590 : gt = 124 , t1 = 128.7588 , t2 = 129.4124 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  591 : gt = 124 , t1 = 128.1052 , t2 = 128.7588 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  592 : gt = 124 , t1 = 128.1052 , t2 = 128.7588 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  593 : gt = 117 , t1 = 118.7528 , t2 = 119.4053 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  594 : gt = 106 , t1 = 105.3862 , t2 = 106.6954 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  595 : gt = 118 , t1 = 119.4053 , t2 = 120.0578 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  596 : gt = 117 , t1 =  69.3847 , t2 = 119.7868 . avg.P-score = 0.5423 , ALOTC-score= 1 *
id =  597 : gt = 124 , t1 = 127.8876 , t2 = 128.5401 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  598 : gt = 124 , t1 = 127.8876 , t2 = 128.5401 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  599 : gt = 124 , t1 = 127.8876 , t2 = 128.5401 . avg.P-score = 1.0000 , ALOTC-score= 1 *
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - P-score = 0.9116 alotc = 0.9910 

Jive
id =    0 : gt = 160 , t1 =  81.6730 , t2 =  82.3212 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =    1 : gt = 168 , t1 =  84.2657 , t2 =  85.5621 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =    2 : gt = 176 , t1 =  90.0995 , t2 =  90.7477 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =    3 : gt = 172 , t1 =  86.2103 , t2 =  87.5067 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =    4 : gt = 176 , t1 =  90.0995 , t2 =  90.7477 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =    5 : gt = 176 , t1 =  88.8031 , t2 =  90.0995 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =    6 : gt = 172 , t1 =  44.0775 , t2 =  44.7257 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =    7 : gt = 136 , t1 =  68.7090 , t2 =  70.0054 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =    8 : gt = 176 , t1 =  90.0995 , t2 =  90.7477 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =    9 : gt = 176 , t1 =  89.4513 , t2 =  90.7477 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   10 : gt = 124 , t1 =  64.1716 , t2 =  64.8198 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   11 : gt = 136 , t1 =  70.0054 , t2 =  70.6536 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   12 : gt = 172 , t1 =  88.1549 , t2 =  88.8031 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   13 : gt = 172 , t1 =  88.8031 , t2 =  89.4513 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   14 : gt = 132 , t1 =  67.4126 , t2 =  68.0608 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   15 : gt = 124 , t1 =  63.5234 , t2 =  64.1716 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   16 : gt = 144 , t1 =  73.2464 , t2 =  73.8946 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   17 : gt = 160 , t1 =  40.8365 , t2 =  82.3212 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   18 : gt = 168 , t1 =  84.9139 , t2 =  86.2103 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   19 : gt = 164 , t1 =  84.2657 , t2 =  84.9139 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   20 : gt = 172 , t1 =  28.5207 , t2 =  88.1549 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   21 : gt = 172 , t1 =  88.1549 , t2 =  88.8031 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   22 : gt = 136 , t1 =  70.0054 , t2 =  70.6536 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   23 : gt = 172 , t1 =  88.1549 , t2 =  88.8031 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   24 : gt = 172 , t1 =  88.1549 , t2 =  88.8031 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   25 : gt = 172 , t1 =  88.8031 , t2 =  89.4513 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   26 : gt = 160 , t1 =  82.3212 , t2 =  82.9693 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   27 : gt = 172 , t1 =  88.8031 , t2 =  89.4513 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   28 : gt = 172 , t1 =  87.5067 , t2 =  88.1549 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   29 : gt = 124 , t1 =  63.5234 , t2 =  95.2851 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   30 : gt = 168 , t1 =  86.2103 , t2 =  86.8585 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   31 : gt = 172 , t1 =  88.1549 , t2 =  88.8031 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   32 : gt = 172 , t1 =  88.1549 , t2 =  88.8031 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   33 : gt = 168 , t1 =  86.2103 , t2 =  86.8585 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   34 : gt = 172 , t1 =  87.5067 , t2 =  88.8031 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   35 : gt = 172 , t1 =  88.8031 , t2 =  89.4513 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   36 : gt = 172 , t1 =  89.0219 , t2 =  89.6765 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   37 : gt = 172 , t1 =  88.7384 , t2 =  89.3908 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   38 : gt = 172 , t1 =  88.7384 , t2 =  89.3908 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   39 : gt = 164 , t1 =  83.2532 , t2 =  83.9036 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   40 : gt = 164 , t1 =  81.9526 , t2 =  82.5928 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   41 : gt = 176 , t1 =  66.5864 , t2 =  67.2267 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   42 : gt = 180 , t1 =  90.9161 , t2 =  91.5564 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   43 : gt = 176 , t1 =  90.0433 , t2 =  91.3483 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   44 : gt = 176 , t1 =  90.6958 , t2 =  91.3483 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   45 : gt = 176 , t1 =  90.9856 , t2 =  91.6402 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   46 : gt = 176 , t1 =  90.6958 , t2 = 181.3916 . avg.P-score = 0.9676 , ALOTC-score= 1 *
id =   47 : gt = 176 , t1 =  45.0217 , t2 =  45.6742 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   48 : gt = 176 , t1 =  45.6742 , t2 =  91.3483 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   49 : gt = 176 , t1 =  90.6958 , t2 =  91.3483 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   50 : gt = 176 , t1 = 181.3916 , t2 = 182.0441 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   51 : gt = 176 , t1 =  90.9856 , t2 =  91.6402 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   52 : gt = 176 , t1 = 181.9712 , t2 = 182.6258 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =   53 : gt = 172 , t1 =  88.8893 , t2 =  89.5429 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   54 : gt = 176 , t1 =  91.5037 , t2 =  92.1573 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   55 : gt = 168 , t1 =  86.9285 , t2 =  87.5821 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   56 : gt = 168 , t1 =  86.7809 , t2 =  87.4334 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   57 : gt = 168 , t1 =  86.7809 , t2 =  87.4334 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   58 : gt = 172 , t1 =  88.7384 , t2 =  89.3908 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   59 : gt = 172 , t1 =  89.0219 , t2 =  89.6765 . avg.P-score = 0.0000 , ALOTC-score= 0  
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - P-score = 0.0495 alotc = 0.0500 

Quickstep
id =   60 : gt = 214 , t1 = 109.3136 , t2 = 109.9682 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   61 : gt = 208 , t1 =  54.3295 , t2 = 108.0045 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   62 : gt = 204 , t1 = 105.3862 , t2 = 106.0408 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   63 : gt = 200 , t1 = 102.4406 , t2 = 103.7456 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   64 : gt = 200 , t1 =  28.7095 , t2 = 103.0931 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   65 : gt = 200 , t1 =  28.7095 , t2 = 107.0080 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   66 : gt = 200 , t1 =  28.7095 , t2 =  64.5963 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   67 : gt = 200 , t1 =  28.0570 , t2 =  28.7095 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   68 : gt = 204 , t1 = 105.3862 , t2 = 106.0408 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   69 : gt = 204 , t1 =  52.8515 , t2 = 103.0931 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   70 : gt = 200 , t1 =  28.0570 , t2 = 103.7456 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   71 : gt = 204 , t1 =  53.5040 , t2 =  54.1565 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   72 : gt = 204 , t1 =  55.1576 , t2 =  55.8142 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   73 : gt = 204 , t1 =  28.6258 , t2 =  92.3832 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   74 : gt = 204 , t1 = 108.3453 , t2 = 109.0019 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   75 : gt = 219 , t1 = 108.8432 , t2 = 109.4835 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   76 : gt = 200 , t1 = 102.4153 , t2 = 103.7117 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   77 : gt = 204 , t1 = 104.3599 , t2 = 105.6563 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   78 : gt = 204 , t1 =  28.5207 , t2 = 105.0081 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   79 : gt = 153 , t1 =  28.5207 , t2 = 104.3599 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   80 : gt = 153 , t1 = 100.8384 , t2 = 104.6677 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   81 : gt = 153 , t1 =  76.4874 , t2 =  80.3766 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   82 : gt = 153 , t1 = 104.3599 , t2 = 105.0081 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   83 : gt = 200 , t1 = 102.4153 , t2 = 103.0635 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   84 : gt = 204 , t1 =  68.0608 , t2 = 104.3599 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   85 : gt = 204 , t1 = 103.0635 , t2 = 103.7117 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   86 : gt = 200 , t1 = 103.0635 , t2 = 103.7117 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   87 : gt = 204 , t1 = 105.6563 , t2 = 106.3045 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   88 : gt = 204 , t1 =  52.5040 , t2 =  53.1522 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   89 : gt = 204 , t1 = 104.3599 , t2 = 105.0081 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   90 : gt = 208 , t1 = 106.9527 , t2 = 107.6009 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   91 : gt = 208 , t1 =  27.8725 , t2 = 106.3045 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   92 : gt = 208 , t1 = 106.3045 , t2 = 106.9527 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   93 : gt = 208 , t1 = 106.3045 , t2 = 106.9527 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   94 : gt = 208 , t1 = 105.6563 , t2 = 106.3045 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   95 : gt = 208 , t1 =  53.8004 , t2 = 107.6009 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   96 : gt = 208 , t1 =  28.5207 , t2 =  29.8171 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   97 : gt = 208 , t1 = 105.6563 , t2 = 106.3045 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   98 : gt = 208 , t1 = 106.9527 , t2 = 107.6009 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =   99 : gt = 208 , t1 = 106.3045 , t2 = 108.2491 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  100 : gt = 208 , t1 = 106.3045 , t2 = 106.9527 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  101 : gt = 204 , t1 = 104.3599 , t2 = 105.6563 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  102 : gt = 204 , t1 = 103.7117 , t2 = 105.0081 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  103 : gt = 204 , t1 = 104.3599 , t2 = 105.0081 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  104 : gt = 204 , t1 =  28.5207 , t2 =  50.5594 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  105 : gt = 200 , t1 = 102.4153 , t2 = 103.7117 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  106 : gt = 208 , t1 = 106.3045 , t2 = 107.6009 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  107 : gt = 208 , t1 =  28.5207 , t2 =  37.5955 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  108 : gt = 204 , t1 =  51.2076 , t2 = 106.3045 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  109 : gt = 208 , t1 = 106.9527 , t2 = 107.6009 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  110 : gt = 204 , t1 =  99.1743 , t2 = 104.3599 . avg.P-score = 0.0000 , ALOTC-score= 0  
