floats only print 4.4f
Cha Cha
id =  489 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . t1/t2 = 1.0051 , t1/gt = 2.0627 , t2/gt = 2.0732
id =  569 : gt = 128 , t1 =  90.0433 , t2 = 262.3001 . t1/t2 = 2.9130 , t1/gt = 0.7035 , t2/gt = 2.0492
id =  570 : gt = 128 , t1 =  57.4189 , t2 = 264.9101 . t1/t2 = 4.6136 , t1/gt = 0.4486 , t2/gt = 2.0696
id =  571 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . t1/t2 = 1.0051 , t1/gt = 2.0627 , t2/gt = 2.0732
id =  572 : gt = 128 , t1 = 263.6051 , t2 = 264.9101 . t1/t2 = 1.0050 , t1/gt = 2.0594 , t2/gt = 2.0696
id =  573 : gt = 128 , t1 = 262.3001 , t2 = 263.6051 . t1/t2 = 1.0050 , t1/gt = 2.0492 , t2/gt = 2.0594
id =  574 : gt = 128 , t1 = 133.1075 , t2 = 264.9101 . t1/t2 = 1.9902 , t1/gt = 1.0399 , t2/gt = 2.0696
id =  575 : gt = 128 , t1 = 263.6051 , t2 = 264.9101 . t1/t2 = 1.0050 , t1/gt = 2.0594 , t2/gt = 2.0696
id =  576 : gt = 128 , t1 = 262.3001 , t2 = 263.6051 . t1/t2 = 1.0050 , t1/gt = 2.0492 , t2/gt = 2.0594
id =  577 : gt = 128 , t1 = 257.0802 , t2 = 258.3852 . t1/t2 = 1.0051 , t1/gt = 2.0084 , t2/gt = 2.0186
id =  578 : gt = 128 , t1 = 253.1653 , t2 = 257.0802 . t1/t2 = 1.0155 , t1/gt = 1.9779 , t2/gt = 2.0084
id =  579 : gt = 128 , t1 =  57.4189 , t2 = 257.0802 . t1/t2 = 4.4773 , t1/gt = 0.4486 , t2/gt = 2.0084
id =  580 : gt = 128 , t1 = 255.7752 , t2 = 257.0802 . t1/t2 = 1.0051 , t1/gt = 1.9982 , t2/gt = 2.0084
id =  581 : gt = 128 , t1 = 137.0225 , t2 = 264.9101 . t1/t2 = 1.9333 , t1/gt = 1.0705 , t2/gt = 2.0696
id =  582 : gt = 128 , t1 = 263.6051 , t2 = 264.9101 . t1/t2 = 1.0050 , t1/gt = 2.0594 , t2/gt = 2.0696
id =  583 : gt = 124 , t1 = 256.5925 , t2 = 257.9017 . t1/t2 = 1.0051 , t1/gt = 2.0693 , t2/gt = 2.0799
id =  584 : gt = 124 , t1 = 256.5925 , t2 = 257.9017 . t1/t2 = 1.0051 , t1/gt = 2.0693 , t2/gt = 2.0799
id =  585 : gt = 124 , t1 = 256.5925 , t2 = 257.9017 . t1/t2 = 1.0051 , t1/gt = 2.0693 , t2/gt = 2.0799
id =  586 : gt = 128 , t1 = 254.8212 , t2 = 256.1017 . t1/t2 = 1.0050 , t1/gt = 1.9908 , t2/gt = 2.0008
id =  587 : gt = 120 , t1 = 238.1746 , t2 = 239.4551 . t1/t2 = 1.0054 , t1/gt = 1.9848 , t2/gt = 1.9955
id =  588 : gt = 109 , t1 = 215.1254 , t2 = 216.4060 . t1/t2 = 1.0060 , t1/gt = 1.9736 , t2/gt = 1.9854
id =  589 : gt = 124 , t1 = 258.7154 , t2 = 260.0287 . t1/t2 = 1.0051 , t1/gt = 2.0864 , t2/gt = 2.0970
id =  590 : gt = 124 , t1 = 257.5176 , t2 = 258.8248 . t1/t2 = 1.0051 , t1/gt = 2.0768 , t2/gt = 2.0873
id =  591 : gt = 124 , t1 = 256.2104 , t2 = 257.5176 . t1/t2 = 1.0051 , t1/gt = 2.0662 , t2/gt = 2.0768
id =  592 : gt = 124 , t1 = 256.2104 , t2 = 257.5176 . t1/t2 = 1.0051 , t1/gt = 2.0662 , t2/gt = 2.0768
id =  593 : gt = 117 , t1 = 237.5056 , t2 = 238.8106 . t1/t2 = 1.0055 , t1/gt = 2.0300 , t2/gt = 2.0411
id =  594 : gt = 106 , t1 = 210.7724 , t2 = 213.3907 . t1/t2 = 1.0124 , t1/gt = 1.9884 , t2/gt = 2.0131
id =  595 : gt = 118 , t1 = 238.8106 , t2 = 240.1155 . t1/t2 = 1.0055 , t1/gt = 2.0238 , t2/gt = 2.0349
id =  596 : gt = 117 , t1 = 138.7694 , t2 = 239.5736 . t1/t2 = 1.7264 , t1/gt = 1.1861 , t2/gt = 2.0476
id =  597 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . t1/t2 = 1.0051 , t1/gt = 2.0627 , t2/gt = 2.0732
id =  598 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . t1/t2 = 1.0051 , t1/gt = 2.0627 , t2/gt = 2.0732
id =  599 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . t1/t2 = 1.0051 , t1/gt = 2.0627 , t2/gt = 2.0732
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/t1 = 1.4537
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t1/gt = 1.7842
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/gt = 2.0464
Jive
id =    0 : gt = 160 , t1 = 163.3459 , t2 = 164.6423 . t1/t2 = 1.0079 , t1/gt = 1.0209 , t2/gt = 1.0290
id =    1 : gt = 168 , t1 = 168.5315 , t2 = 171.1243 . t1/t2 = 1.0154 , t1/gt = 1.0032 , t2/gt = 1.0186
id =    2 : gt = 176 , t1 = 180.1991 , t2 = 181.4955 . t1/t2 = 1.0072 , t1/gt = 1.0239 , t2/gt = 1.0312
id =    3 : gt = 172 , t1 = 172.4207 , t2 = 175.0135 . t1/t2 = 1.0150 , t1/gt = 1.0024 , t2/gt = 1.0175
id =    4 : gt = 176 , t1 = 180.1991 , t2 = 181.4955 . t1/t2 = 1.0072 , t1/gt = 1.0239 , t2/gt = 1.0312
id =    5 : gt = 176 , t1 = 177.6063 , t2 = 180.1991 . t1/t2 = 1.0146 , t1/gt = 1.0091 , t2/gt = 1.0239
id =    6 : gt = 172 , t1 =  88.1549 , t2 =  89.4513 . t1/t2 = 1.0147 , t1/gt = 0.5125 , t2/gt = 0.5201
id =    7 : gt = 136 , t1 = 137.4180 , t2 = 140.0108 . t1/t2 = 1.0189 , t1/gt = 1.0104 , t2/gt = 1.0295
id =    8 : gt = 176 , t1 = 180.1991 , t2 = 181.4955 . t1/t2 = 1.0072 , t1/gt = 1.0239 , t2/gt = 1.0312
id =    9 : gt = 176 , t1 = 178.9027 , t2 = 181.4955 . t1/t2 = 1.0145 , t1/gt = 1.0165 , t2/gt = 1.0312
id =   10 : gt = 124 , t1 = 128.3432 , t2 = 129.6396 . t1/t2 = 1.0101 , t1/gt = 1.0350 , t2/gt = 1.0455
id =   11 : gt = 136 , t1 = 140.0108 , t2 = 141.3072 . t1/t2 = 1.0093 , t1/gt = 1.0295 , t2/gt = 1.0390
id =   12 : gt = 172 , t1 = 176.3099 , t2 = 177.6063 . t1/t2 = 1.0074 , t1/gt = 1.0251 , t2/gt = 1.0326
id =   13 : gt = 172 , t1 = 177.6063 , t2 = 178.9027 . t1/t2 = 1.0073 , t1/gt = 1.0326 , t2/gt = 1.0401
id =   14 : gt = 132 , t1 = 134.8252 , t2 = 136.1216 . t1/t2 = 1.0096 , t1/gt = 1.0214 , t2/gt = 1.0312
id =   15 : gt = 124 , t1 = 127.0468 , t2 = 128.3432 . t1/t2 = 1.0102 , t1/gt = 1.0246 , t2/gt = 1.0350
id =   16 : gt = 144 , t1 = 146.4928 , t2 = 147.7892 . t1/t2 = 1.0088 , t1/gt = 1.0173 , t2/gt = 1.0263
id =   17 : gt = 160 , t1 =  81.6730 , t2 = 164.6423 . t1/t2 = 2.0159 , t1/gt = 0.5105 , t2/gt = 1.0290
id =   18 : gt = 168 , t1 = 169.8279 , t2 = 172.4207 . t1/t2 = 1.0153 , t1/gt = 1.0109 , t2/gt = 1.0263
id =   19 : gt = 164 , t1 = 168.5315 , t2 = 169.8279 . t1/t2 = 1.0077 , t1/gt = 1.0276 , t2/gt = 1.0355
id =   20 : gt = 172 , t1 =  57.0414 , t2 = 176.3099 . t1/t2 = 3.0909 , t1/gt = 0.3316 , t2/gt = 1.0251
id =   21 : gt = 172 , t1 = 176.3099 , t2 = 177.6063 . t1/t2 = 1.0074 , t1/gt = 1.0251 , t2/gt = 1.0326
id =   22 : gt = 136 , t1 = 140.0108 , t2 = 141.3072 . t1/t2 = 1.0093 , t1/gt = 1.0295 , t2/gt = 1.0390
id =   23 : gt = 172 , t1 = 176.3099 , t2 = 177.6063 . t1/t2 = 1.0074 , t1/gt = 1.0251 , t2/gt = 1.0326
id =   24 : gt = 172 , t1 = 176.3099 , t2 = 177.6063 . t1/t2 = 1.0074 , t1/gt = 1.0251 , t2/gt = 1.0326
id =   25 : gt = 172 , t1 = 177.6063 , t2 = 178.9027 . t1/t2 = 1.0073 , t1/gt = 1.0326 , t2/gt = 1.0401
id =   26 : gt = 160 , t1 = 164.6423 , t2 = 165.9387 . t1/t2 = 1.0079 , t1/gt = 1.0290 , t2/gt = 1.0371
id =   27 : gt = 172 , t1 = 177.6063 , t2 = 178.9027 . t1/t2 = 1.0073 , t1/gt = 1.0326 , t2/gt = 1.0401
id =   28 : gt = 172 , t1 = 175.0135 , t2 = 176.3099 . t1/t2 = 1.0074 , t1/gt = 1.0175 , t2/gt = 1.0251
id =   29 : gt = 124 , t1 = 127.0468 , t2 = 190.5702 . t1/t2 = 1.5000 , t1/gt = 1.0246 , t2/gt = 1.5369
id =   30 : gt = 168 , t1 = 172.4207 , t2 = 173.7171 . t1/t2 = 1.0075 , t1/gt = 1.0263 , t2/gt = 1.0340
id =   31 : gt = 172 , t1 = 176.3099 , t2 = 177.6063 . t1/t2 = 1.0074 , t1/gt = 1.0251 , t2/gt = 1.0326
id =   32 : gt = 172 , t1 = 176.3099 , t2 = 177.6063 . t1/t2 = 1.0074 , t1/gt = 1.0251 , t2/gt = 1.0326
id =   33 : gt = 168 , t1 = 172.4207 , t2 = 173.7171 . t1/t2 = 1.0075 , t1/gt = 1.0263 , t2/gt = 1.0340
id =   34 : gt = 172 , t1 = 175.0135 , t2 = 177.6063 . t1/t2 = 1.0148 , t1/gt = 1.0175 , t2/gt = 1.0326
id =   35 : gt = 172 , t1 = 177.6063 , t2 = 178.9027 . t1/t2 = 1.0073 , t1/gt = 1.0326 , t2/gt = 1.0401
id =   36 : gt = 172 , t1 = 178.0438 , t2 = 179.3529 . t1/t2 = 1.0074 , t1/gt = 1.0351 , t2/gt = 1.0427
id =   37 : gt = 172 , t1 = 177.4767 , t2 = 178.7817 . t1/t2 = 1.0074 , t1/gt = 1.0318 , t2/gt = 1.0394
id =   38 : gt = 172 , t1 = 177.4767 , t2 = 178.7817 . t1/t2 = 1.0074 , t1/gt = 1.0318 , t2/gt = 1.0394
id =   39 : gt = 164 , t1 = 166.5064 , t2 = 167.8073 . t1/t2 = 1.0078 , t1/gt = 1.0153 , t2/gt = 1.0232
id =   40 : gt = 164 , t1 = 163.9051 , t2 = 165.1856 . t1/t2 = 1.0078 , t1/gt = 0.9994 , t2/gt = 1.0072
id =   41 : gt = 176 , t1 = 133.1729 , t2 = 134.4534 . t1/t2 = 1.0096 , t1/gt = 0.7567 , t2/gt = 0.7639
id =   42 : gt = 180 , t1 = 181.8322 , t2 = 183.1127 . t1/t2 = 1.0070 , t1/gt = 1.0102 , t2/gt = 1.0173
id =   43 : gt = 176 , t1 = 180.0867 , t2 = 182.6966 . t1/t2 = 1.0145 , t1/gt = 1.0232 , t2/gt = 1.0380
id =   44 : gt = 176 , t1 = 181.3916 , t2 = 182.6966 . t1/t2 = 1.0072 , t1/gt = 1.0306 , t2/gt = 1.0380
id =   45 : gt = 176 , t1 = 181.9712 , t2 = 183.2804 . t1/t2 = 1.0072 , t1/gt = 1.0339 , t2/gt = 1.0414
id =   46 : gt = 176 , t1 = 181.3916 , t2 = 362.7833 . t1/t2 = 2.0000 , t1/gt = 1.0306 , t2/gt = 2.0613
id =   47 : gt = 176 , t1 =  90.0433 , t2 =  91.3483 . t1/t2 = 1.0145 , t1/gt = 0.5116 , t2/gt = 0.5190
id =   48 : gt = 176 , t1 =  91.3483 , t2 = 182.6966 . t1/t2 = 2.0000 , t1/gt = 0.5190 , t2/gt = 1.0380
id =   49 : gt = 176 , t1 = 181.3916 , t2 = 182.6966 . t1/t2 = 1.0072 , t1/gt = 1.0306 , t2/gt = 1.0380
id =   50 : gt = 176 , t1 = 362.7833 , t2 = 364.0882 . t1/t2 = 1.0036 , t1/gt = 2.0613 , t2/gt = 2.0687
id =   51 : gt = 176 , t1 = 181.9712 , t2 = 183.2804 . t1/t2 = 1.0072 , t1/gt = 1.0339 , t2/gt = 1.0414
id =   52 : gt = 176 , t1 = 363.9424 , t2 = 365.2516 . t1/t2 = 1.0036 , t1/gt = 2.0679 , t2/gt = 2.0753
id =   53 : gt = 172 , t1 = 177.7787 , t2 = 179.0859 . t1/t2 = 1.0074 , t1/gt = 1.0336 , t2/gt = 1.0412
id =   54 : gt = 176 , t1 = 183.0075 , t2 = 184.3147 . t1/t2 = 1.0071 , t1/gt = 1.0398 , t2/gt = 1.0472
id =   55 : gt = 168 , t1 = 173.8571 , t2 = 175.1643 . t1/t2 = 1.0075 , t1/gt = 1.0349 , t2/gt = 1.0426
id =   56 : gt = 168 , t1 = 173.5618 , t2 = 174.8668 . t1/t2 = 1.0075 , t1/gt = 1.0331 , t2/gt = 1.0409
id =   57 : gt = 168 , t1 = 173.5618 , t2 = 174.8668 . t1/t2 = 1.0075 , t1/gt = 1.0331 , t2/gt = 1.0409
id =   58 : gt = 172 , t1 = 177.4767 , t2 = 178.7817 . t1/t2 = 1.0074 , t1/gt = 1.0318 , t2/gt = 1.0394
id =   59 : gt = 172 , t1 = 178.0438 , t2 = 179.3529 . t1/t2 = 1.0074 , t1/gt = 1.0351 , t2/gt = 1.0427
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/t1 = 1.1017
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t1/gt = 1.0095
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/gt = 1.0723
Quickstep
id =   60 : gt = 214 , t1 = 218.6273 , t2 = 219.9364 . t1/t2 = 1.0060 , t1/gt = 1.0216 , t2/gt = 1.0277
id =   61 : gt = 208 , t1 = 108.6591 , t2 = 216.0090 . t1/t2 = 1.9880 , t1/gt = 0.5224 , t2/gt = 1.0385
id =   62 : gt = 204 , t1 = 210.7724 , t2 = 212.0816 . t1/t2 = 1.0062 , t1/gt = 1.0332 , t2/gt = 1.0396
id =   63 : gt = 200 , t1 = 204.8812 , t2 = 207.4911 . t1/t2 = 1.0127 , t1/gt = 1.0244 , t2/gt = 1.0375
id =   64 : gt = 200 , t1 =  57.4189 , t2 = 206.1862 . t1/t2 = 3.5909 , t1/gt = 0.2871 , t2/gt = 1.0309
id =   65 : gt = 200 , t1 =  57.4189 , t2 = 214.0160 . t1/t2 = 3.7273 , t1/gt = 0.2871 , t2/gt = 1.0701
id =   66 : gt = 200 , t1 =  57.4189 , t2 = 129.1926 . t1/t2 = 2.2500 , t1/gt = 0.2871 , t2/gt = 0.6460
id =   67 : gt = 200 , t1 =  56.1140 , t2 =  57.4189 . t1/t2 = 1.0233 , t1/gt = 0.2806 , t2/gt = 0.2871
id =   68 : gt = 204 , t1 = 210.7724 , t2 = 212.0816 . t1/t2 = 1.0062 , t1/gt = 1.0332 , t2/gt = 1.0396
id =   69 : gt = 204 , t1 = 105.7030 , t2 = 206.1862 . t1/t2 = 1.9506 , t1/gt = 0.5182 , t2/gt = 1.0107
id =   70 : gt = 200 , t1 =  56.1140 , t2 = 207.4911 . t1/t2 = 3.6977 , t1/gt = 0.2806 , t2/gt = 1.0375
