/home/slee/miniconda3/bin/python /home/slee/Desktop/code/mir-hw2/q5.py



tempo / 2 :


Cha Cha
id = 489 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 500 , gt =124 , t1 = 191.4062 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.2857 , t1/gt = 1.5436 , t2/gt = 1.9846
id = 501 , gt =124 , t1 = 166.7087 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4762 , t1/gt = 1.3444 , t2/gt = 1.9846
id = 502 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 503 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 504 , gt =124 , t1 = 246.0938 , t2 =322.9980 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3125 , t1/gt = 1.9846 , t2/gt = 2.6048
id = 505 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 506 , gt =124 , t1 = 234.9077 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 1.8944 , t2/gt = 1.9846
id = 507 , gt =124 , t1 = 224.6943 , t2 =234.9077 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0455 , t1/gt = 1.8121 , t2/gt = 1.8944
id = 508 , gt =124 , t1 = 147.6562 , t2 =224.6943 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5217 , t1/gt = 1.1908 , t2/gt = 1.8121
id = 509 , gt =124 , t1 = 246.0938 , t2 =344.5312 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4000 , t1/gt = 1.9846 , t2/gt = 2.7785
id = 510 , gt =124 , t1 = 246.0938 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 1.9846 , t2/gt = 2.0839
id = 511 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 512 , gt =124 , t1 = 246.0938 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 1.9846 , t2/gt = 2.0839
id = 513 , gt =116 , t1 = 234.9077 , t2 =430.6641 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.8333 , t1/gt = 2.0251 , t2/gt = 3.7126
id = 514 , gt =124 , t1 = 234.9077 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 1.8944 , t2/gt = 1.9846
id = 515 , gt =124 , t1 = 234.9077 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 1.8944 , t2/gt = 1.9846
id = 516 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 517 , gt =108 , t1 = 215.3320 , t2 =224.6943 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0435 , t1/gt = 1.9938 , t2/gt = 2.0805
id = 518 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 519 , gt =124 , t1 = 246.0938 , t2 =322.9980 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3125 , t1/gt = 1.9846 , t2/gt = 2.6048
id = 520 , gt =124 , t1 = 234.9077 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 1.8944 , t2/gt = 1.9846
id = 521 , gt =120 , t1 = 234.9077 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 1.9576 , t2/gt = 2.0508
id = 522 , gt =112 , t1 = 224.6943 , t2 =234.9077 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0455 , t1/gt = 2.0062 , t2/gt = 2.0974
id = 523 , gt =124 , t1 = 161.4990 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5238 , t1/gt = 1.3024 , t2/gt = 1.9846
id = 524 , gt =124 , t1 = 156.6051 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5714 , t1/gt = 1.2629 , t2/gt = 1.9846
id = 525 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 526 , gt =116 , t1 = 234.9077 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 2.0251 , t2/gt = 2.1215
id = 527 , gt =108 , t1 = 215.3320 , t2 =303.9982 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4118 , t1/gt = 1.9938 , t2/gt = 2.8148
id = 528 , gt =124 , t1 = 166.7087 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4762 , t1/gt = 1.3444 , t2/gt = 1.9846
id = 529 , gt =124 , t1 = 246.0938 , t2 =271.9984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1053 , t1/gt = 1.9846 , t2/gt = 2.1935
id = 530 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 531 , gt =124 , t1 = 234.9077 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 1.8944 , t2/gt = 1.9846
id = 532 , gt =100 , t1 = 198.7680 , t2 =397.5361 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9877 , t2/gt = 3.9754
id = 533 , gt =116 , t1 = 206.7188 , t2 =234.9077 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1364 , t1/gt = 1.7821 , t2/gt = 2.0251
id = 534 , gt =124 , t1 = 246.0938 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 1.9846 , t2/gt = 2.0839
id = 535 , gt =128 , t1 = 246.0938 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 1.9226 , t2/gt = 2.0187
id = 536 , gt =124 , t1 = 246.0938 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 1.9846 , t2/gt = 2.0839
id = 537 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 538 , gt =124 , t1 = 246.0938 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 1.9846 , t2/gt = 2.0839
id = 539 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 540 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 541 , gt =124 , t1 = 246.0938 , t2 =303.9982 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.2353 , t1/gt = 1.9846 , t2/gt = 2.4516
id = 542 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 543 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 544 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 545 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 546 , gt =116 , t1 = 224.6943 , t2 =234.9077 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0455 , t1/gt = 1.9370 , t2/gt = 2.0251
id = 547 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 548 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 549 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 550 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 551 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 552 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 553 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 554 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 555 , gt =124 , t1 = 246.0938 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 1.9846 , t2/gt = 2.0839
id = 556 , gt =124 , t1 = 246.0938 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 1.9846 , t2/gt = 2.0839
id = 557 , gt =124 , t1 = 246.0938 , t2 =287.1094 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1667 , t1/gt = 1.9846 , t2/gt = 2.3154
id = 558 , gt =124 , t1 = 246.0938 , t2 =287.1094 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1667 , t1/gt = 1.9846 , t2/gt = 2.3154
id = 559 , gt =124 , t1 = 234.9077 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 1.8944 , t2/gt = 1.9846
id = 560 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 561 , gt = 92 , t1 = 123.0469 , t2 =184.5703 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5000 , t1/gt = 1.3375 , t2/gt = 2.0062
id = 562 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 563 , gt =124 , t1 = 117.4538 , t2 =246.0938 . P-score = 0.0725 , ALOTC = 1 . t1/t2 = 2.0952 , t1/gt = 0.9472 , t2/gt = 1.9846
id = 564 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 565 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 566 , gt =124 , t1 = 246.0938 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 1.9846 , t2/gt = 2.0839
id = 567 , gt =124 , t1 = 198.7680 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.2381 , t1/gt = 1.6030 , t2/gt = 1.9846
id = 568 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 569 , gt =128 , t1 = 246.0938 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 1.9226 , t2/gt = 2.0187
id = 570 , gt =128 , t1 = 129.1992 , t2 =258.3984 . P-score = 0.5264 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 1.0094 , t2/gt = 2.0187
id = 571 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 572 , gt =128 , t1 = 129.1992 , t2 =258.3984 . P-score = 0.5385 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 1.0094 , t2/gt = 2.0187
id = 573 , gt =128 , t1 = 246.0938 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 1.9226 , t2/gt = 2.0187
id = 574 , gt =128 , t1 = 129.1992 , t2 =258.3984 . P-score = 0.5821 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 1.0094 , t2/gt = 2.0187
id = 575 , gt =128 , t1 = 129.1992 , t2 =258.3984 . P-score = 0.5747 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 1.0094 , t2/gt = 2.0187
id = 576 , gt =128 , t1 = 246.0938 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 1.9226 , t2/gt = 2.0187
id = 577 , gt =128 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9226 , t2/gt = 3.8452
id = 578 , gt =128 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9226 , t2/gt = 3.8452
id = 579 , gt =128 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9226 , t2/gt = 3.8452
id = 580 , gt =128 , t1 = 246.0938 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 1.9226 , t2/gt = 2.0187
id = 581 , gt =128 , t1 = 215.3320 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.2000 , t1/gt = 1.6823 , t2/gt = 2.0187
id = 582 , gt =128 , t1 = 129.1992 , t2 =258.3984 . P-score = 0.5636 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 1.0094 , t2/gt = 2.0187
id = 583 , gt =124 , t1 = 161.4990 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5238 , t1/gt = 1.3024 , t2/gt = 1.9846
id = 584 , gt =124 , t1 = 246.0938 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 1.9846 , t2/gt = 2.0839
id = 585 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 586 , gt =128 , t1 = 246.0938 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 1.9226 , t2/gt = 2.0187
id = 587 , gt =120 , t1 = 224.6943 , t2 =234.9077 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0455 , t1/gt = 1.8725 , t2/gt = 1.9576
id = 588 , gt =109 , t1 = 206.7188 , t2 =215.3320 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0417 , t1/gt = 1.8965 , t2/gt = 1.9755
id = 589 , gt =124 , t1 = 234.9077 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 1.8944 , t2/gt = 1.9846
id = 590 , gt =124 , t1 = 246.0938 , t2 =303.9982 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.2353 , t1/gt = 1.9846 , t2/gt = 2.4516
id = 591 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 592 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 593 , gt =117 , t1 = 224.6943 , t2 =234.9077 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0455 , t1/gt = 1.9205 , t2/gt = 2.0078
id = 594 , gt =106 , t1 = 206.7188 , t2 =413.4375 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9502 , t2/gt = 3.9004
id = 595 , gt =118 , t1 = 234.9077 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 1.9907 , t2/gt = 2.0855
id = 596 , gt =117 , t1 = 215.3320 , t2 =234.9077 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0909 , t1/gt = 1.8404 , t2/gt = 2.0078
id = 597 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 598 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 599 , gt =124 , t1 = 234.9077 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 1.8944 , t2/gt = 1.9846
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Cha Cha : avg.P-score = 0.0306 , avg.ALOTC = 0.0631
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/t1 = 1.5547
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t1/gt = 1.8424
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/gt = 2.8499
Jive
id =   0 , gt =160 , t1 = 161.4990 , t2 =322.9980 . P-score = 0.5625 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 1.0094 , t2/gt = 2.0187
id =   1 , gt =168 , t1 = 166.7087 , t2 =322.9980 . P-score = 0.3173 , ALOTC = 1 . t1/t2 = 1.9375 , t1/gt = 0.9923 , t2/gt = 1.9226
id =   2 , gt =176 , t1 = 178.2058 , t2 =344.5312 . P-score = 0.4490 , ALOTC = 1 . t1/t2 = 1.9333 , t1/gt = 1.0125 , t2/gt = 1.9576
id =   3 , gt =172 , t1 = 166.7087 , t2 =172.2656 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0333 , t1/gt = 0.9692 , t2/gt = 1.0015
id =   4 , gt =176 , t1 = 178.2058 , t2 =344.5312 . P-score = 0.5724 , ALOTC = 1 . t1/t2 = 1.9333 , t1/gt = 1.0125 , t2/gt = 1.9576
id =   5 , gt =176 , t1 = 172.2656 , t2 =344.5312 . P-score = 0.6002 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9788 , t2/gt = 1.9576
id =   6 , gt =172 , t1 = 172.2656 , t2 =344.5312 . P-score = 0.4062 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 1.0015 , t2/gt = 2.0031
id =   7 , gt =136 , t1 = 258.3984 , t2 =271.9984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0526 , t1/gt = 1.9000 , t2/gt = 2.0000
id =   8 , gt =176 , t1 = 178.2058 , t2 =344.5312 . P-score = 0.5822 , ALOTC = 1 . t1/t2 = 1.9333 , t1/gt = 1.0125 , t2/gt = 1.9576
id =   9 , gt =176 , t1 = 178.2058 , t2 =344.5312 . P-score = 0.4482 , ALOTC = 1 . t1/t2 = 1.9333 , t1/gt = 1.0125 , t2/gt = 1.9576
id =  10 , gt =124 , t1 = 246.0938 , t2 =258.3984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 1.9846 , t2/gt = 2.0839
id =  11 , gt =136 , t1 = 271.9984 , t2 =287.1094 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0556 , t1/gt = 2.0000 , t2/gt = 2.1111
id =  12 , gt =172 , t1 = 172.2656 , t2 =344.5312 . P-score = 0.7123 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 1.0015 , t2/gt = 2.0031
id =  13 , gt =172 , t1 = 172.2656 , t2 =258.3984 . P-score = 0.5591 , ALOTC = 1 . t1/t2 = 1.5000 , t1/gt = 1.0015 , t2/gt = 1.5023
id =  14 , gt =132 , t1 = 132.5120 , t2 =258.3984 . P-score = 0.7527 , ALOTC = 1 . t1/t2 = 1.9500 , t1/gt = 1.0039 , t2/gt = 1.9576
id =  15 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id =  16 , gt =144 , t1 = 143.5547 , t2 =287.1094 . P-score = 0.6740 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9969 , t2/gt = 1.9938
id =  17 , gt =160 , t1 = 161.4990 , t2 =322.9980 . P-score = 0.6691 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 1.0094 , t2/gt = 2.0187
id =  18 , gt =168 , t1 = 161.4990 , t2 =322.9980 . P-score = 0.4749 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9613 , t2/gt = 1.9226
id =  19 , gt =164 , t1 = 166.7087 , t2 =322.9980 . P-score = 0.5431 , ALOTC = 1 . t1/t2 = 1.9375 , t1/gt = 1.0165 , t2/gt = 1.9695
id =  20 , gt =172 , t1 = 224.6943 , t2 =344.5312 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5333 , t1/gt = 1.3064 , t2/gt = 2.0031
id =  21 , gt =172 , t1 = 172.2656 , t2 =344.5312 . P-score = 0.5473 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 1.0015 , t2/gt = 2.0031
id =  22 , gt =136 , t1 = 271.9984 , t2 =287.1094 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0556 , t1/gt = 2.0000 , t2/gt = 2.1111
id =  23 , gt =172 , t1 = 172.2656 , t2 =344.5312 . P-score = 0.4502 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 1.0015 , t2/gt = 2.0031
id =  24 , gt =172 , t1 = 172.2656 , t2 =344.5312 . P-score = 0.4557 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 1.0015 , t2/gt = 2.0031
id =  25 , gt =172 , t1 = 172.2656 , t2 =344.5312 . P-score = 0.4409 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 1.0015 , t2/gt = 2.0031
id =  26 , gt =160 , t1 = 303.9982 , t2 =322.9980 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0625 , t1/gt = 1.9000 , t2/gt = 2.0187
id =  27 , gt =172 , t1 = 172.2656 , t2 =344.5312 . P-score = 0.5101 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 1.0015 , t2/gt = 2.0031
id =  28 , gt =172 , t1 = 172.2656 , t2 =322.9980 . P-score = 0.4712 , ALOTC = 1 . t1/t2 = 1.8750 , t1/gt = 1.0015 , t2/gt = 1.8779
id =  29 , gt =124 , t1 = 184.5703 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3333 , t1/gt = 1.4885 , t2/gt = 1.9846
id =  30 , gt =168 , t1 = 322.9980 , t2 =344.5312 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0667 , t1/gt = 1.9226 , t2/gt = 2.0508
id =  31 , gt =172 , t1 = 172.2656 , t2 =344.5312 . P-score = 0.5266 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 1.0015 , t2/gt = 2.0031
id =  32 , gt =172 , t1 = 172.2656 , t2 =344.5312 . P-score = 0.5036 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 1.0015 , t2/gt = 2.0031
id =  33 , gt =168 , t1 = 322.9980 , t2 =344.5312 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0667 , t1/gt = 1.9226 , t2/gt = 2.0508
