/Users/LEE/anaconda3/python.app/Contents/MacOS/python /Users/LEE/PycharmProjects/mir-hw2/q4.py
Cha Cha
id = 489 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0523 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 546 , gt =116 , t1 = 112.3471 , t2 =117.4538 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0455 , t1/gt = 0.9685 , t2/gt = 1.0125
id = 547 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0379 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 548 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0522 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 549 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0453 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 550 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0460 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 551 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.1104 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 552 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0289 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 553 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0295 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 554 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0717 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 555 , gt =124 , t1 = 123.0469 , t2 =129.1992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0500 , t1/gt = 0.9923 , t2/gt = 1.0419
id = 556 , gt =124 , t1 = 123.0469 , t2 =129.1992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0500 , t1/gt = 0.9923 , t2/gt = 1.0419
id = 557 , gt =124 , t1 = 123.0469 , t2 =143.5547 . P-score = 0.0231 , ALOTC = 1 . t1/t2 = 1.1667 , t1/gt = 0.9923 , t2/gt = 1.1577
id = 558 , gt =124 , t1 = 123.0469 , t2 =143.5547 . P-score = 0.0443 , ALOTC = 1 . t1/t2 = 1.1667 , t1/gt = 0.9923 , t2/gt = 1.1577
id = 559 , gt =124 , t1 = 117.4538 , t2 =123.0469 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0476 , t1/gt = 0.9472 , t2/gt = 0.9923
id = 560 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0340 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 561 , gt = 92 , t1 =  61.5234 , t2 = 92.2852 . P-score = 0.5422 , ALOTC = 1 . t1/t2 = 1.5000 , t1/gt = 0.6687 , t2/gt = 1.0031
id = 562 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0735 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 563 , gt =124 , t1 =  58.7269 , t2 =123.0469 . P-score = 0.4636 , ALOTC = 1 . t1/t2 = 2.0952 , t1/gt = 0.4736 , t2/gt = 0.9923
id = 564 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0509 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 565 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0391 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 566 , gt =124 , t1 = 123.0469 , t2 =129.1992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0500 , t1/gt = 0.9923 , t2/gt = 1.0419
id = 567 , gt =124 , t1 =  99.3840 , t2 =123.0469 . P-score = 0.4904 , ALOTC = 1 . t1/t2 = 1.2381 , t1/gt = 0.8015 , t2/gt = 0.9923
id = 568 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0395 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 569 , gt =128 , t1 = 123.0469 , t2 =129.1992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0500 , t1/gt = 0.9613 , t2/gt = 1.0094
id = 570 , gt =128 , t1 =  64.5996 , t2 =129.1992 . P-score = 0.8566 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.5047 , t2/gt = 1.0094
id = 571 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0562 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 572 , gt =128 , t1 =  64.5996 , t2 =129.1992 . P-score = 0.8844 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.5047 , t2/gt = 1.0094
id = 573 , gt =128 , t1 = 123.0469 , t2 =129.1992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0500 , t1/gt = 0.9613 , t2/gt = 1.0094
id = 574 , gt =128 , t1 =  64.5996 , t2 =129.1992 . P-score = 0.8976 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.5047 , t2/gt = 1.0094
id = 575 , gt =128 , t1 =  64.5996 , t2 =129.1992 . P-score = 0.9287 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.5047 , t2/gt = 1.0094
id = 576 , gt =128 , t1 = 123.0469 , t2 =129.1992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0500 , t1/gt = 0.9613 , t2/gt = 1.0094
id = 577 , gt =128 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0262 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9613 , t2/gt = 1.9226
id = 578 , gt =128 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0340 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9613 , t2/gt = 1.9226
id = 579 , gt =128 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0479 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9613 , t2/gt = 1.9226
id = 580 , gt =128 , t1 = 123.0469 , t2 =129.1992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0500 , t1/gt = 0.9613 , t2/gt = 1.0094
id = 581 , gt =128 , t1 = 107.6660 , t2 =129.1992 . P-score = 0.8975 , ALOTC = 1 . t1/t2 = 1.2000 , t1/gt = 0.8411 , t2/gt = 1.0094
id = 582 , gt =128 , t1 =  64.5996 , t2 =129.1992 . P-score = 0.9431 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.5047 , t2/gt = 1.0094
id = 583 , gt =124 , t1 =  80.7495 , t2 =123.0469 . P-score = 0.4890 , ALOTC = 1 . t1/t2 = 1.5238 , t1/gt = 0.6512 , t2/gt = 0.9923
id = 584 , gt =124 , t1 = 123.0469 , t2 =129.1992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0500 , t1/gt = 0.9923 , t2/gt = 1.0419
id = 585 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0547 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 586 , gt =128 , t1 = 123.0469 , t2 =129.1992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0500 , t1/gt = 0.9613 , t2/gt = 1.0094
id = 587 , gt =120 , t1 = 112.3471 , t2 =117.4538 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0455 , t1/gt = 0.9362 , t2/gt = 0.9788
id = 588 , gt =109 , t1 = 103.3594 , t2 =107.6660 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0417 , t1/gt = 0.9483 , t2/gt = 0.9878
id = 589 , gt =124 , t1 = 117.4538 , t2 =123.0469 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0476 , t1/gt = 0.9472 , t2/gt = 0.9923
id = 590 , gt =124 , t1 = 123.0469 , t2 =151.9991 . P-score = 0.0280 , ALOTC = 1 . t1/t2 = 1.2353 , t1/gt = 0.9923 , t2/gt = 1.2258
id = 591 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0363 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 592 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0537 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 593 , gt =117 , t1 = 112.3471 , t2 =117.4538 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0455 , t1/gt = 0.9602 , t2/gt = 1.0039
id = 594 , gt =106 , t1 = 103.3594 , t2 =206.7188 . P-score = 0.0369 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9751 , t2/gt = 1.9502
id = 595 , gt =118 , t1 = 117.4538 , t2 =123.0469 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0476 , t1/gt = 0.9954 , t2/gt = 1.0428
id = 596 , gt =117 , t1 = 107.6660 , t2 =117.4538 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0909 , t1/gt = 0.9202 , t2/gt = 1.0039
id = 597 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0330 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 598 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0560 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 599 , gt =124 , t1 = 117.4538 , t2 =123.0469 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0476 , t1/gt = 0.9472 , t2/gt = 0.9923
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Cha Cha : avg.P-score = 0.4463 , avg.ALOTC = 0.9910
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/t1 = 1.5547
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t1/gt = 0.9212
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/gt = 1.4249
Jive
id =   0 , gt =160 , t1 =  80.7495 , t2 =161.4990 . P-score = 0.9469 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.5047 , t2/gt = 1.0094
id =   1 , gt =168 , t1 =  83.3543 , t2 =161.4990 . P-score = 0.9448 , ALOTC = 1 . t1/t2 = 1.9375 , t1/gt = 0.4962 , t2/gt = 0.9613
id =   2 , gt =176 , t1 =  89.1029 , t2 =172.2656 . P-score = 0.9662 , ALOTC = 1 . t1/t2 = 1.9333 , t1/gt = 0.5063 , t2/gt = 0.9788
id =   3 , gt =172 , t1 =  83.3543 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0333 , t1/gt = 0.4846 , t2/gt = 0.5008
id =   4 , gt =176 , t1 =  89.1029 , t2 =172.2656 . P-score = 0.9735 , ALOTC = 1 . t1/t2 = 1.9333 , t1/gt = 0.5063 , t2/gt = 0.9788
id =   5 , gt =176 , t1 =  86.1328 , t2 =172.2656 . P-score = 0.9740 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4894 , t2/gt = 0.9788
id =   6 , gt =172 , t1 =  86.1328 , t2 =172.2656 . P-score = 0.9377 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.5008 , t2/gt = 1.0015
id =   7 , gt =136 , t1 = 129.1992 , t2 =135.9992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0526 , t1/gt = 0.9500 , t2/gt = 1.0000
id =   8 , gt =176 , t1 =  89.1029 , t2 =172.2656 . P-score = 0.9487 , ALOTC = 1 . t1/t2 = 1.9333 , t1/gt = 0.5063 , t2/gt = 0.9788
id =   9 , gt =176 , t1 =  89.1029 , t2 =172.2656 . P-score = 0.9433 , ALOTC = 1 . t1/t2 = 1.9333 , t1/gt = 0.5063 , t2/gt = 0.9788
id =  10 , gt =124 , t1 = 123.0469 , t2 =129.1992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0500 , t1/gt = 0.9923 , t2/gt = 1.0419
id =  11 , gt =136 , t1 = 135.9992 , t2 =143.5547 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0556 , t1/gt = 1.0000 , t2/gt = 1.0555
id =  12 , gt =172 , t1 =  86.1328 , t2 =172.2656 . P-score = 0.9715 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.5008 , t2/gt = 1.0015
id =  13 , gt =172 , t1 =  86.1328 , t2 =129.1992 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5000 , t1/gt = 0.5008 , t2/gt = 0.7512
id =  14 , gt =132 , t1 =  66.2560 , t2 =129.1992 . P-score = 0.4647 , ALOTC = 1 . t1/t2 = 1.9500 , t1/gt = 0.5019 , t2/gt = 0.9788
id =  15 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0300 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id =  16 , gt =144 , t1 =  71.7773 , t2 =143.5547 . P-score = 0.9740 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4985 , t2/gt = 0.9969
id =  17 , gt =160 , t1 =  80.7495 , t2 =161.4990 . P-score = 0.9427 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.5047 , t2/gt = 1.0094
id =  18 , gt =168 , t1 =  80.7495 , t2 =161.4990 . P-score = 0.9724 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4807 , t2/gt = 0.9613
id =  19 , gt =164 , t1 =  83.3543 , t2 =161.4990 . P-score = 0.9748 , ALOTC = 1 . t1/t2 = 1.9375 , t1/gt = 0.5083 , t2/gt = 0.9848
id =  20 , gt =172 , t1 = 112.3471 , t2 =172.2656 . P-score = 0.9852 , ALOTC = 1 . t1/t2 = 1.5333 , t1/gt = 0.6532 , t2/gt = 1.0015
id =  21 , gt =172 , t1 =  86.1328 , t2 =172.2656 . P-score = 0.9669 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.5008 , t2/gt = 1.0015
id =  22 , gt =136 , t1 = 135.9992 , t2 =143.5547 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0556 , t1/gt = 1.0000 , t2/gt = 1.0555
id =  23 , gt =172 , t1 =  86.1328 , t2 =172.2656 . P-score = 0.9631 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.5008 , t2/gt = 1.0015
id =  24 , gt =172 , t1 =  86.1328 , t2 =172.2656 . P-score = 0.9663 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.5008 , t2/gt = 1.0015
id =  25 , gt =172 , t1 =  86.1328 , t2 =172.2656 . P-score = 0.9322 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.5008 , t2/gt = 1.0015
id =  26 , gt =160 , t1 = 151.9991 , t2 =161.4990 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0625 , t1/gt = 0.9500 , t2/gt = 1.0094
id =  27 , gt =172 , t1 =  86.1328 , t2 =172.2656 . P-score = 0.9574 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.5008 , t2/gt = 1.0015
id =  28 , gt =172 , t1 =  86.1328 , t2 =161.4990 . P-score = 0.9598 , ALOTC = 1 . t1/t2 = 1.8750 , t1/gt = 0.5008 , t2/gt = 0.9389
id =  29 , gt =124 , t1 =  92.2852 , t2 =123.0469 . P-score = 0.5888 , ALOTC = 1 . t1/t2 = 1.3333 , t1/gt = 0.7442 , t2/gt = 0.9923
id =  30 , gt =168 , t1 = 161.4990 , t2 =172.2656 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0667 , t1/gt = 0.9613 , t2/gt = 1.0254
id =  31 , gt =172 , t1 =  86.1328 , t2 =172.2656 . P-score = 0.9709 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.5008 , t2/gt = 1.0015
id =  32 , gt =172 , t1 =  86.1328 , t2 =172.2656 . P-score = 0.9655 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.5008 , t2/gt = 1.0015
id =  33 , gt =168 , t1 = 161.4990 , t2 =172.2656 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0667 , t1/gt = 0.9613 , t2/gt = 1.0254
