tempo / 2 :


Cha Cha
id = 489 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.3539 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 506 , gt =124 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.4736 , t2/gt = 0.4962
id = 507 , gt =124 , t1 =  56.1736 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0455 , t1/gt = 0.4530 , t2/gt = 0.4736
id = 508 , gt =124 , t1 =  36.9141 , t2 = 56.1736 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5217 , t1/gt = 0.2977 , t2/gt = 0.4530
id = 509 , gt =124 , t1 =  61.5234 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4000 , t1/gt = 0.4962 , t2/gt = 0.6946
id = 510 , gt =124 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4962 , t2/gt = 0.5210
id = 511 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4955 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 512 , gt =124 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4962 , t2/gt = 0.5210
id = 513 , gt =116 , t1 =  58.7269 , t2 =107.6660 . P-score = 0.7026 , ALOTC = 1 . t1/t2 = 1.8333 , t1/gt = 0.5063 , t2/gt = 0.9282
id = 514 , gt =124 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.4736 , t2/gt = 0.4962
id = 515 , gt =124 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.4736 , t2/gt = 0.4962
id = 516 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4276 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 517 , gt =108 , t1 =  53.8330 , t2 = 56.1736 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0435 , t1/gt = 0.4985 , t2/gt = 0.5201
id = 518 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4722 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 519 , gt =124 , t1 =  61.5234 , t2 = 80.7495 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3125 , t1/gt = 0.4962 , t2/gt = 0.6512
id = 520 , gt =124 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.4736 , t2/gt = 0.4962
id = 521 , gt =120 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.4894 , t2/gt = 0.5127
id = 522 , gt =112 , t1 =  56.1736 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0455 , t1/gt = 0.5015 , t2/gt = 0.5243
id = 523 , gt =124 , t1 =  40.3748 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5238 , t1/gt = 0.3256 , t2/gt = 0.4962
id = 524 , gt =124 , t1 =  39.1513 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5714 , t1/gt = 0.3157 , t2/gt = 0.4962
id = 525 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4931 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 526 , gt =116 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.5063 , t2/gt = 0.5304
id = 527 , gt =108 , t1 =  53.8330 , t2 = 75.9995 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4118 , t1/gt = 0.4985 , t2/gt = 0.7037
id = 528 , gt =124 , t1 =  41.6772 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4762 , t1/gt = 0.3361 , t2/gt = 0.4962
id = 529 , gt =124 , t1 =  61.5234 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1053 , t1/gt = 0.4962 , t2/gt = 0.5484
id = 530 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4187 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 531 , gt =124 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.4736 , t2/gt = 0.4962
id = 532 , gt =100 , t1 =  49.6920 , t2 = 99.3840 . P-score = 0.5033 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4969 , t2/gt = 0.9938
id = 533 , gt =116 , t1 =  51.6797 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1364 , t1/gt = 0.4455 , t2/gt = 0.5063
id = 534 , gt =124 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4962 , t2/gt = 0.5210
id = 535 , gt =128 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4807 , t2/gt = 0.5047
id = 536 , gt =124 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4962 , t2/gt = 0.5210
id = 537 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.5694 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 538 , gt =124 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4962 , t2/gt = 0.5210
id = 539 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4748 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 540 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4887 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 541 , gt =124 , t1 =  61.5234 , t2 = 75.9995 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.2353 , t1/gt = 0.4962 , t2/gt = 0.6129
id = 542 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.5079 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 543 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.5708 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 544 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.3652 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 545 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4959 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 546 , gt =116 , t1 =  56.1736 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0455 , t1/gt = 0.4843 , t2/gt = 0.5063
id = 547 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4620 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 548 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4558 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 549 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4980 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 550 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.3207 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 551 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4646 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 552 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4201 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 553 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.5274 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 554 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.5384 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 555 , gt =124 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4962 , t2/gt = 0.5210
id = 556 , gt =124 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4962 , t2/gt = 0.5210
id = 557 , gt =124 , t1 =  61.5234 , t2 = 71.7773 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1667 , t1/gt = 0.4962 , t2/gt = 0.5788
id = 558 , gt =124 , t1 =  61.5234 , t2 = 71.7773 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1667 , t1/gt = 0.4962 , t2/gt = 0.5788
id = 559 , gt =124 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.4736 , t2/gt = 0.4962
id = 560 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4890 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 561 , gt = 92 , t1 =  30.7617 , t2 = 46.1426 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5000 , t1/gt = 0.3344 , t2/gt = 0.5015
id = 562 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4053 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 563 , gt =124 , t1 =  29.3635 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0952 , t1/gt = 0.2368 , t2/gt = 0.4962
id = 564 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4187 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 565 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.5662 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 566 , gt =124 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4962 , t2/gt = 0.5210
id = 567 , gt =124 , t1 =  49.6920 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.2381 , t1/gt = 0.4007 , t2/gt = 0.4962
id = 568 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4366 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 569 , gt =128 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4807 , t2/gt = 0.5047
id = 570 , gt =128 , t1 =  32.2998 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2523 , t2/gt = 0.5047
id = 571 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4088 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 572 , gt =128 , t1 =  32.2998 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2523 , t2/gt = 0.5047
id = 573 , gt =128 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4807 , t2/gt = 0.5047
id = 574 , gt =128 , t1 =  32.2998 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2523 , t2/gt = 0.5047
id = 575 , gt =128 , t1 =  32.2998 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2523 , t2/gt = 0.5047
id = 576 , gt =128 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4807 , t2/gt = 0.5047
id = 577 , gt =128 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4658 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4807 , t2/gt = 0.9613
id = 578 , gt =128 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4347 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4807 , t2/gt = 0.9613
id = 579 , gt =128 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.3868 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4807 , t2/gt = 0.9613
id = 580 , gt =128 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4807 , t2/gt = 0.5047
id = 581 , gt =128 , t1 =  53.8330 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.2000 , t1/gt = 0.4206 , t2/gt = 0.5047
id = 582 , gt =128 , t1 =  32.2998 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2523 , t2/gt = 0.5047
id = 583 , gt =124 , t1 =  40.3748 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5238 , t1/gt = 0.3256 , t2/gt = 0.4962
id = 584 , gt =124 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4962 , t2/gt = 0.5210
id = 585 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.5024 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 586 , gt =128 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4807 , t2/gt = 0.5047
id = 587 , gt =120 , t1 =  56.1736 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0455 , t1/gt = 0.4681 , t2/gt = 0.4894
id = 588 , gt =109 , t1 =  51.6797 , t2 = 53.8330 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0417 , t1/gt = 0.4741 , t2/gt = 0.4939
id = 589 , gt =124 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.4736 , t2/gt = 0.4962
id = 590 , gt =124 , t1 =  61.5234 , t2 = 75.9995 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.2353 , t1/gt = 0.4962 , t2/gt = 0.6129
id = 591 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.3771 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 592 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.6328 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 593 , gt =117 , t1 =  56.1736 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0455 , t1/gt = 0.4801 , t2/gt = 0.5019
id = 594 , gt =106 , t1 =  51.6797 , t2 =103.3594 . P-score = 0.4419 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4875 , t2/gt = 0.9751
id = 595 , gt =118 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.4977 , t2/gt = 0.5214
id = 596 , gt =117 , t1 =  53.8330 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0909 , t1/gt = 0.4601 , t2/gt = 0.5019
id = 597 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4449 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 598 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4418 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 599 , gt =124 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.4736 , t2/gt = 0.4962
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Cha Cha : avg.P-score = 0.1918 , avg.ALOTC = 0.4054
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/t1 = 1.5547
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t1/gt = 0.4606
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/gt = 0.7125
Jive
id =   0 , gt =160 , t1 =  40.3748 , t2 = 80.7495 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2523 , t2/gt = 0.5047
id =   1 , gt =168 , t1 =  41.6772 , t2 = 80.7495 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.9375 , t1/gt = 0.2481 , t2/gt = 0.4807
id =   2 , gt =176 , t1 =  44.5515 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.9333 , t1/gt = 0.2531 , t2/gt = 0.4894
id =   3 , gt =172 , t1 =  41.6772 , t2 = 43.0664 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0333 , t1/gt = 0.2423 , t2/gt = 0.2504
id =   4 , gt =176 , t1 =  44.5515 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.9333 , t1/gt = 0.2531 , t2/gt = 0.4894
id =   5 , gt =176 , t1 =  43.0664 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2447 , t2/gt = 0.4894
id =   6 , gt =172 , t1 =  43.0664 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2504 , t2/gt = 0.5008
id =   7 , gt =136 , t1 =  64.5996 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0526 , t1/gt = 0.4750 , t2/gt = 0.5000
id =   8 , gt =176 , t1 =  44.5515 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.9333 , t1/gt = 0.2531 , t2/gt = 0.4894
id =   9 , gt =176 , t1 =  44.5515 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.9333 , t1/gt = 0.2531 , t2/gt = 0.4894
id =  10 , gt =124 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4962 , t2/gt = 0.5210
id =  11 , gt =136 , t1 =  67.9996 , t2 = 71.7773 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0556 , t1/gt = 0.5000 , t2/gt = 0.5278
id =  12 , gt =172 , t1 =  43.0664 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2504 , t2/gt = 0.5008
id =  13 , gt =172 , t1 =  43.0664 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5000 , t1/gt = 0.2504 , t2/gt = 0.3756
id =  14 , gt =132 , t1 =  33.1280 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.9500 , t1/gt = 0.2510 , t2/gt = 0.4894
id =  15 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.5174 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id =  16 , gt =144 , t1 =  35.8887 , t2 = 71.7773 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2492 , t2/gt = 0.4985
id =  17 , gt =160 , t1 =  40.3748 , t2 = 80.7495 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2523 , t2/gt = 0.5047
id =  18 , gt =168 , t1 =  40.3748 , t2 = 80.7495 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2403 , t2/gt = 0.4807
id =  19 , gt =164 , t1 =  41.6772 , t2 = 80.7495 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.9375 , t1/gt = 0.2541 , t2/gt = 0.4924
id =  20 , gt =172 , t1 =  56.1736 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5333 , t1/gt = 0.3266 , t2/gt = 0.5008
id =  21 , gt =172 , t1 =  43.0664 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2504 , t2/gt = 0.5008
id =  22 , gt =136 , t1 =  67.9996 , t2 = 71.7773 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0556 , t1/gt = 0.5000 , t2/gt = 0.5278
id =  23 , gt =172 , t1 =  43.0664 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2504 , t2/gt = 0.5008
id =  24 , gt =172 , t1 =  43.0664 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2504 , t2/gt = 0.5008
id =  25 , gt =172 , t1 =  43.0664 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2504 , t2/gt = 0.5008
id =  26 , gt =160 , t1 =  75.9995 , t2 = 80.7495 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0625 , t1/gt = 0.4750 , t2/gt = 0.5047
id =  27 , gt =172 , t1 =  43.0664 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2504 , t2/gt = 0.5008
id =  28 , gt =172 , t1 =  43.0664 , t2 = 80.7495 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.8750 , t1/gt = 0.2504 , t2/gt = 0.4695
id =  29 , gt =124 , t1 =  46.1426 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3333 , t1/gt = 0.3721 , t2/gt = 0.4962
id =  30 , gt =168 , t1 =  80.7495 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0667 , t1/gt = 0.4807 , t2/gt = 0.5127
id =  31 , gt =172 , t1 =  43.0664 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2504 , t2/gt = 0.5008
id =  32 , gt =172 , t1 =  43.0664 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2504 , t2/gt = 0.5008
id =  33 , gt =168 , t1 =  80.7495 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0667 , t1/gt = 0.4807 , t2/gt = 0.5127
